season,IDs,division,matchDays,cached,lastUpdate
2005,[12],['bl1'],34,True,2022-01-03 09:21:18
2006,"[6, 7]","['bl1', 'bl2']",34,True,2022-01-03 09:21:18
2007,"[3, 4]","['bl1', 'bl2']",34,True,2022-01-03 09:21:18
2008,"[18, 19, 25]","['bl1', 'bl2', 'bl3']",40,True,2022-01-03 09:21:18
2009,"[71, 83, 84]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2010,"[159, 180, 181]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2011,"[307, 308, 309]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2012,"[456, 499, 488]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2013,"[623, 624, 625]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2014,"[720, 721, 722]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 09:21:18
2015,"[848, 849, 850]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2016,"[3005, 3006, 3015]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2017,"[4153, 4154, 4156]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2018,"[4276, 4280, 4281]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2019,"[4362, 4363, 4366]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2020,"[4442, 4443, 4444]","['bl1', 'bl2', 'bl3']",38,True,2022-01-03 08:34:55
2021,"[4500, 4506, 4507]","['bl1', 'bl2', 'bl3']",20,True,2022-01-03 08:34:55
