season,IDs,division,availMatchdays,cached,cachedMatchdays,cachedDatetime
2005,[12],['bl1'],34,True,34,2022-01-04 17:35:48.311903
2006,"[6, 7]","['bl1', 'bl2']",34,True,34,2022-01-04 17:35:48.388177
2007,"[3, 4]","['bl1', 'bl2']",34,True,34,2022-01-04 17:35:48.453847
2008,"[18, 19, 25]","['bl1', 'bl2', 'bl3']",40,True,40,2022-01-04 17:35:48.558038
2009,"[71, 83, 84]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:48.675073
2010,"[159, 180, 181]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:48.782095
2011,"[307, 308, 309]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:48.887183
2012,"[456, 499, 488]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:48.999685
2013,"[623, 624, 625]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.126175
2014,"[720, 721, 722]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.235405
2015,"[848, 849, 850]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.350297
2016,"[3005, 3006, 3015]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.462627
2017,"[4153, 4154, 4156]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.578501
2018,"[4276, 4280, 4281]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.692292
2019,"[4362, 4363, 4366]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.811480
2020,"[4442, 4443, 4444]","['bl1', 'bl2', 'bl3']",38,True,38,2022-01-04 17:35:49.931404
2021,"[4500, 4506, 4507]","['bl1', 'bl2', 'bl3']",38,True,20,2022-01-04 17:51:11.748667
